pii_event_id,event_id,pii_type,matched_text
180,589,EMAIL,[REDACTED]
181,589,EMAIL,[REDACTED]
182,600,EMAIL,[REDACTED]
183,616,SSN,[REDACTED]
184,616,EMAIL,[REDACTED]
185,620,PHONE,[REDACTED]
186,620,SSN,[REDACTED]
187,626,ACCOUNT,[REDACTED]
188,626,ACCOUNT,[REDACTED]
189,636,EMAIL,[REDACTED]
190,647,ACCOUNT,[REDACTED]
191,647,SSN,[REDACTED]
192,647,EMAIL,[REDACTED]
193,654,EMAIL,[REDACTED]
194,655,EMAIL,[REDACTED]
195,655,EMAIL,[REDACTED]
196,655,SSN,[REDACTED]
197,664,EMAIL,[REDACTED]
198,664,SSN,[REDACTED]
199,664,EMAIL,[REDACTED]
200,666,EMAIL,[REDACTED]
201,666,ACCOUNT,[REDACTED]
202,672,SSN,[REDACTED]
203,672,PHONE,[REDACTED]
204,672,SSN,[REDACTED]
205,677,ACCOUNT,[REDACTED]
206,679,ACCOUNT,[REDACTED]
207,679,ACCOUNT,[REDACTED]
208,679,EMAIL,[REDACTED]
209,680,ACCOUNT,[REDACTED]
210,686,EMAIL,[REDACTED]
211,686,EMAIL,[REDACTED]
212,686,PHONE,[REDACTED]
213,698,PHONE,[REDACTED]
214,726,SSN,[REDACTED]
215,726,EMAIL,[REDACTED]
216,734,ACCOUNT,[REDACTED]
217,734,EMAIL,[REDACTED]
218,735,SSN,[REDACTED]
219,741,ACCOUNT,[REDACTED]
220,744,SSN,[REDACTED]
221,760,ACCOUNT,[REDACTED]
222,765,SSN,[REDACTED]
223,765,SSN,[REDACTED]
224,765,SSN,[REDACTED]
225,770,EMAIL,[REDACTED]
226,770,SSN,[REDACTED]
227,780,ACCOUNT,[REDACTED]
228,780,ACCOUNT,[REDACTED]
229,780,PHONE,[REDACTED]
230,784,ACCOUNT,[REDACTED]
231,785,ACCOUNT,[REDACTED]
232,800,PHONE,[REDACTED]
233,800,SSN,[REDACTED]
234,822,EMAIL,[REDACTED]
235,822,PHONE,[REDACTED]
236,825,EMAIL,[REDACTED]
237,825,SSN,[REDACTED]
238,829,ACCOUNT,[REDACTED]
239,829,PHONE,[REDACTED]
240,835,SSN,[REDACTED]
241,843,SSN,[REDACTED]
242,843,SSN,[REDACTED]
243,843,SSN,[REDACTED]
244,850,EMAIL,[REDACTED]
245,850,PHONE,[REDACTED]
246,864,PHONE,[REDACTED]
247,864,SSN,[REDACTED]
248,874,ACCOUNT,[REDACTED]
249,878,PHONE,[REDACTED]
250,878,PHONE,[REDACTED]
251,878,ACCOUNT,[REDACTED]
252,891,PHONE,[REDACTED]
253,891,PHONE,[REDACTED]
254,891,ACCOUNT,[REDACTED]
255,897,ACCOUNT,[REDACTED]
256,927,ACCOUNT,[REDACTED]
257,927,EMAIL,[REDACTED]
258,927,PHONE,[REDACTED]
259,935,ACCOUNT,[REDACTED]
260,935,PHONE,[REDACTED]
261,935,PHONE,[REDACTED]
262,936,PHONE,[REDACTED]
263,936,ACCOUNT,[REDACTED]
264,936,EMAIL,[REDACTED]
265,944,SSN,[REDACTED]
266,944,EMAIL,[REDACTED]
267,944,ACCOUNT,[REDACTED]
268,949,EMAIL,[REDACTED]
269,949,SSN,[REDACTED]
270,949,EMAIL,[REDACTED]
271,952,ACCOUNT,[REDACTED]
272,952,PHONE,[REDACTED]
273,952,SSN,[REDACTED]
274,953,ACCOUNT,[REDACTED]
275,966,SSN,[REDACTED]
276,966,SSN,[REDACTED]
277,966,EMAIL,[REDACTED]
278,969,ACCOUNT,[REDACTED]
279,969,SSN,[REDACTED]
280,977,PHONE,[REDACTED]
281,986,PHONE,[REDACTED]
282,987,SSN,[REDACTED]
283,989,ACCOUNT,[REDACTED]
284,989,ACCOUNT,[REDACTED]
285,989,PHONE,[REDACTED]
286,992,SSN,[REDACTED]
287,992,EMAIL,[REDACTED]
288,992,ACCOUNT,[REDACTED]
